axial_case,points_per_unit_radius,wall_radius,kr,nr,response_max_abs,response_relative_to_reference_core_max,argmax_r,argmax_z,response_spread_over_abs_mean,oracle_amplitude,oracle_predicted_response,floor_margin,oracle_comparable
Lz8_m1,128,1.0,0.7853981633974483,129,0.0015720565340769984,0.06619912869326539,0.8984375,0.0,0.06223083292022153,2.0912990535805593,0.0015720565340769984,18633398207202.594,True
Lz8_m1,128,1.5,1.1780972450961724,193,0.00048489814509824754,0.02041900785033239,0.8984375,0.0,0.0622308329202232,0.6450509485528391,0.0004848931369948586,5747380398676.108,True
Lz8_m1,128,2.0,1.5707963267948966,257,0.00017885388406031007,0.007531517494153247,0.8984375,0.0,0.06223083292026728,0.23792490538328576,0.000178851227177222,2119902219544.9895,True
Lz8_m1,128,3.0,2.356194490192345,385,3.0107247917546872e-05,0.0012678129165780447,0.8984375,0.0,0.06223083291956674,0.040050729445968714,3.0106651084782208e-05,356850536979.84753,True
Lz8_m1,128,4.0,3.141592653589793,513,5.666774623813969e-06,0.00023862725955834966,0.8984375,0.0,0.062230832917532494,0.007538306782293662,5.666642660547258e-06,67166038181.88599,True
Lz8_m1,256,1.0,0.7853981633974483,257,0.001571886002159429,0.06620585255189297,0.8984375,0.0,0.062233850291219917,2.0912990535805593,0.001571886002159429,18635290805153.2,True
Lz8_m1,256,1.5,1.1780972450961724,385,0.00048484178918325603,0.020420923630317396,0.8984375,0.0,0.06223385029128663,0.6450509485528391,0.00048484053726025907,5747964161242.814,True
Lz8_m1,256,2.0,1.5707963267948966,513,0.0001788324901003792,0.007532198553081023,0.8984375,0.0,0.062233850291040685,0.23792490538328576,0.0001788318259393727,2120117538433.7708,True
Lz8_m1,256,3.0,2.356194490192345,769,3.010353440019084e-05,0.0012679228373125553,0.8984375,0.0,0.06223385029099003,0.040050729445968714,3.0103385206723893e-05,356886782359.6463,True
Lz8_m1,256,4.0,3.141592653589793,1025,5.666060947736966e-06,0.00023864732883973174,0.8984375,0.0,0.06223385029970234,0.007538306782293662,5.666027960364322e-06,67172860249.70206,True
Lz16_m1,64,1.0,0.39269908169872414,65,0.0019824709436786795,0.08043731297570601,0.890625,0.0,0.015289644743101728,11.149770078558422,0.0019824709436786795,22641090796504.598,True
Lz16_m1,64,1.5,0.5890486225480862,97,0.0007710743891786549,0.03128578109438741,0.890625,0.0,0.015289644743105756,4.336505742853686,0.0007710469876715776,8805851562116.54,True
Lz16_m1,64,2.0,0.7853981633974483,129,0.0003705184770458562,0.015033517034108951,0.890625,0.0,0.01528964474311059,2.0837607467982657,0.00037050047713987064,4231353286573.923,True
Lz16_m1,64,3.0,1.1780972450961724,193,0.00011335880898683329,0.0045994510164710295,0.890625,0.0,0.015289644743031952,0.6375126417705453,0.00011335213906952125,1294554193005.6218,True
Lz16_m1,64,4.0,1.5707963267948966,257,4.0966192255231185e-05,0.0016621733793194323,0.890625,0.0,0.015289644743736815,0.2303865986009921,4.096360143046844e-05,467830624351.075,True
Lz16_m1,128,1.0,0.39269908169872414,129,0.0019821055636890434,0.0804897582244918,0.8984375,0.0,0.015559446461190604,11.149770078558422,0.0019821055636890434,22655852821685.16,True
